workflow_id,display_name,version,active,classifications_count,pairwise,grouped,prioritized,primary_language,first_task,tutorial_subject_id,retired_set_member_subjects_count,tasks,retirement,aggregation,strings,minor_version
19109,Primary,1,true,88827,false,false,false,en,"",,8874,{},"{""options"":{""count"":10},""criteria"":""classification_count""}",{},{},1
19109,Primary,2,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[],""question"":""T0.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.question"":""Real or Bogus?""}",2
19109,Primary,2,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[],""question"":""T0.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real unresolved point source"",""T0.question"":""Real or Bogus?""}",3
19109,Primary,2,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[],""question"":""T0.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real astrophysical source or not?"",""T0.question"":""Real or Bogus?""}",4
19109,Primary,3,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[{""label"":""T0.answers.0.label""}],""question"":""T0.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real astrophysical source or not?"",""T0.question"":""Real or Bogus?"",""T0.answers.0.label"":""Enter an answer""}",5
19109,Primary,3,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[{""label"":""T0.answers.0.label""}],""question"":""T0.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real astrophysical source or not?"",""T0.question"":""Real or Bogus?"",""T0.answers.0.label"":""Real""}",6
19109,Primary,4,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real astrophysical source or not?"",""T0.question"":""Real or Bogus?"",""T0.answers.0.label"":""Real"",""T0.answers.1.label"":""Enter an answer""}",7
19109,Primary,4,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real astrophysical source or not?"",""T0.question"":""Real or Bogus?"",""T0.answers.0.label"":""Real"",""T0.answers.1.label"":""Bogus""}",8
19109,Primary,5,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real astrophysical source or not?"",""T1.help"":"""",""T0.question"":""Real or Bogus?"",""T1.question"":""Transient/Variable or not?"",""T0.answers.0.label"":""Real"",""T0.answers.1.label"":""Bogus""}",9
19109,Primary,5,true,88827,false,false,false,en,T0,,8874,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":10},""criteria"":""classification_count""}",{},"{""T0.help"":""Is the source a real astrophysical source or not?"",""T1.help"":""Is the source truly varying or disappearing/appearing? If the source is larger than the "",""T0.question"":""Real or Bogus?"",""T1.question"":""Transient/Variable or not?"",""T0.answers.0.label"":""Real"",""T0.answers.1.label"":""Bogus""}",10
